kpi_name,period,value,delta,driver,status,scenario_id
waste_rate_pct,2021-02,1.952,0.116,Recipe mix,positive,base
vision_2030_index,2021-02,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2021-02,3484156.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2021-02,57977.01,0.0,Flour demand,neutral,base
total_recipe_hours,2021-02,1474.62,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2021-02,87.4617,0.0,Model accuracy,positive,base
seasonality_index,2021-02,1.0557,0.0,Calendar,neutral,base
planned_recipe_hours,2021-02,1519.81,0.0,Schedule,neutral,base
available_mill_hours,2021-02,1590.5,0.0,Capacity,neutral,base
slack_shortfall_hours,2021-02,70.69,0.0,Capacity balance,positive,base
avg_changeovers,2021-02,47.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2021-02,1088.5967,0.0,Raw material,neutral,base
waste_impact_pct,2021-02,1.952,0.0,Waste,positive,base
mill_utilization_pct,2021-02,95.5555,0.0,Utilization,negative,base
overload_hours,2021-02,0.0,0.0,Capacity,positive,base
recipe_switch_count,2021-02,95.0,0.0,Scheduling,neutral,base
avg_run_length_days,2021-02,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2021-02,47.8,0.0,Risk model,positive,base
total_wheat_requirement_tons,2021-02,57976.93,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2021-02,1120.7526,0.0,Market,neutral,base
import_dependency_pct,2021-02,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2021-02,40.2,0.0,Geopolitics,negative,base
yield_variability_index,2021-02,0.117,0.0,Quality,neutral,base
waste_rate_vs_target,2021-02,-0.55,0.0,Gap to target,positive,base
energy_per_ton,2021-02,70.408,0.0,Efficiency,neutral,base
water_per_ton,2021-02,0.7726,0.0,Conservation,neutral,base
vision_2030_compliance,2021-02,85.5,0.0,Composite,positive,base
total_demand_tons,2021-03,65693.03,13.3088,SKU forecast,positive,base
recipe_time_utilization_pct,2021-03,95.5966,0.0411,Time constraint,negative,base
capacity_violations_count,2021-03,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2021-03,1127.0416,6.289,Wheat price,neutral,base
waste_rate_pct,2021-03,1.854,-0.098,Recipe mix,positive,base
vision_2030_index,2021-03,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2021-03,3956092.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2021-03,65693.03,0.0,Flour demand,neutral,base
total_recipe_hours,2021-03,1670.63,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2021-03,87.1705,0.0,Model accuracy,positive,base
seasonality_index,2021-03,1.0765,0.0,Calendar,neutral,base
planned_recipe_hours,2021-03,1758.5,0.0,Schedule,neutral,base
available_mill_hours,2021-03,1839.5,0.0,Capacity,neutral,base
slack_shortfall_hours,2021-03,81.0,0.0,Capacity balance,positive,base
avg_changeovers,2021-03,54.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2021-03,1088.4947,0.0,Raw material,neutral,base
waste_impact_pct,2021-03,1.854,0.0,Waste,positive,base
mill_utilization_pct,2021-03,95.5966,0.0,Utilization,negative,base
overload_hours,2021-03,0.0,0.0,Capacity,positive,base
recipe_switch_count,2021-03,109.0,0.0,Scheduling,neutral,base
avg_run_length_days,2021-03,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2021-03,47.8,0.0,Risk model,positive,base
total_wheat_requirement_tons,2021-03,65693.0,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2021-03,1127.0416,0.0,Market,neutral,base
import_dependency_pct,2021-03,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2021-03,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2021-03,0.106,0.0,Quality,neutral,base
waste_rate_vs_target,2021-03,-0.65,0.0,Gap to target,positive,base
energy_per_ton,2021-03,68.062,0.0,Efficiency,neutral,base
water_per_ton,2021-03,0.79,0.0,Conservation,neutral,base
vision_2030_compliance,2021-03,85.5,0.0,Composite,positive,base
total_demand_tons,2021-04,76442.93,16.3638,SKU forecast,positive,base
recipe_time_utilization_pct,2021-04,98.2398,2.6432,Time constraint,negative,base
capacity_violations_count,2021-04,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2021-04,1152.1036,25.0621,Wheat price,neutral,base
waste_rate_pct,2021-04,1.656,-0.198,Recipe mix,positive,base
vision_2030_index,2021-04,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2021-04,4628622.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2021-04,76442.93,0.0,Flour demand,neutral,base
total_recipe_hours,2021-04,1938.31,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2021-04,87.5571,0.0,Model accuracy,positive,base
seasonality_index,2021-04,1.3027,0.0,Calendar,neutral,base
planned_recipe_hours,2021-04,1638.64,0.0,Schedule,neutral,base
available_mill_hours,2021-04,1668.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2021-04,29.36,0.0,Capacity balance,positive,base
avg_changeovers,2021-04,19.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2021-04,1087.1269,0.0,Raw material,neutral,base
waste_impact_pct,2021-04,1.656,0.0,Waste,positive,base
mill_utilization_pct,2021-04,98.2398,0.0,Utilization,negative,base
overload_hours,2021-04,0.0,0.0,Capacity,positive,base
recipe_switch_count,2021-04,39.0,0.0,Scheduling,neutral,base
avg_run_length_days,2021-04,0.8,0.0,Continuity,neutral,base
downtime_risk_score,2021-04,49.1,0.0,Risk model,positive,base
total_wheat_requirement_tons,2021-04,76443.0,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2021-04,1152.1036,0.0,Market,neutral,base
import_dependency_pct,2021-04,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2021-04,39.9,0.0,Geopolitics,negative,base
yield_variability_index,2021-04,0.077,0.0,Quality,neutral,base
waste_rate_vs_target,2021-04,-0.84,0.0,Gap to target,positive,base
energy_per_ton,2021-04,69.272,0.0,Efficiency,neutral,base
water_per_ton,2021-04,0.7868,0.0,Conservation,neutral,base
vision_2030_compliance,2021-04,85.5,0.0,Composite,positive,base
total_demand_tons,2021-05,73315.37,-4.0914,SKU forecast,negative,base
recipe_time_utilization_pct,2021-05,97.263,-0.9768,Time constraint,negative,base
capacity_violations_count,2021-05,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2021-05,1135.0922,-17.0115,Wheat price,neutral,base
waste_rate_pct,2021-05,1.906,0.25,Recipe mix,positive,base
vision_2030_index,2021-05,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2021-05,4425373.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2021-05,73315.37,0.0,Flour demand,neutral,base
total_recipe_hours,2021-05,1861.2,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2021-05,87.394,0.0,Model accuracy,positive,base
seasonality_index,2021-05,1.2006,0.0,Calendar,neutral,base
planned_recipe_hours,2021-05,1734.2,0.0,Schedule,neutral,base
available_mill_hours,2021-05,1783.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2021-05,48.8,0.0,Capacity balance,positive,base
avg_changeovers,2021-05,32.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2021-05,1087.6099,0.0,Raw material,neutral,base
waste_impact_pct,2021-05,1.906,0.0,Waste,positive,base
mill_utilization_pct,2021-05,97.263,0.0,Utilization,negative,base
overload_hours,2021-05,0.0,0.0,Capacity,positive,base
recipe_switch_count,2021-05,67.0,0.0,Scheduling,neutral,base
avg_run_length_days,2021-05,0.5,0.0,Continuity,neutral,base
downtime_risk_score,2021-05,48.6,0.0,Risk model,positive,base
total_wheat_requirement_tons,2021-05,73315.55,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2021-05,1135.0922,0.0,Market,neutral,base
import_dependency_pct,2021-05,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2021-05,40.1,0.0,Geopolitics,negative,base
yield_variability_index,2021-05,0.096,0.0,Quality,neutral,base
waste_rate_vs_target,2021-05,-0.59,0.0,Gap to target,positive,base
energy_per_ton,2021-05,67.784,0.0,Efficiency,neutral,base
water_per_ton,2021-05,0.7778,0.0,Conservation,neutral,base
vision_2030_compliance,2021-05,85.5,0.0,Composite,positive,base
total_demand_tons,2021-06,60543.58,-17.4203,SKU forecast,negative,base
recipe_time_utilization_pct,2021-06,95.5751,-1.6879,Time constraint,negative,base
capacity_violations_count,2021-06,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2021-06,1108.3748,-26.7174,Wheat price,neutral,base
waste_rate_pct,2021-06,1.85,-0.056,Recipe mix,positive,base
vision_2030_index,2021-06,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2021-06,3659347.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2021-06,60543.58,0.0,Flour demand,neutral,base
total_recipe_hours,2021-06,1539.82,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2021-06,87.45,0.0,Model accuracy,positive,base
seasonality_index,2021-06,1.0217,0.0,Calendar,neutral,base
planned_recipe_hours,2021-06,1637.68,0.0,Schedule,neutral,base
available_mill_hours,2021-06,1713.5,0.0,Capacity,neutral,base
slack_shortfall_hours,2021-06,75.82,0.0,Capacity balance,positive,base
avg_changeovers,2021-06,50.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2021-06,1088.5208,0.0,Raw material,neutral,base
waste_impact_pct,2021-06,1.85,0.0,Waste,positive,base
mill_utilization_pct,2021-06,95.5751,0.0,Utilization,negative,base
overload_hours,2021-06,0.0,0.0,Capacity,positive,base
recipe_switch_count,2021-06,101.0,0.0,Scheduling,neutral,base
avg_run_length_days,2021-06,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2021-06,47.8,0.0,Risk model,positive,base
total_wheat_requirement_tons,2021-06,60543.65,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2021-06,1108.3748,0.0,Market,neutral,base
import_dependency_pct,2021-06,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2021-06,40.2,0.0,Geopolitics,negative,base
yield_variability_index,2021-06,0.12,0.0,Quality,neutral,base
waste_rate_vs_target,2021-06,-0.65,0.0,Gap to target,positive,base
energy_per_ton,2021-06,69.786,0.0,Efficiency,neutral,base
water_per_ton,2021-06,0.7822,0.0,Conservation,neutral,base
vision_2030_compliance,2021-06,85.5,0.0,Composite,positive,base
total_demand_tons,2021-07,74796.96,23.5423,SKU forecast,positive,base
recipe_time_utilization_pct,2021-07,96.493,0.9179,Time constraint,negative,base
capacity_violations_count,2021-07,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2021-07,1120.1523,11.7775,Wheat price,neutral,base
waste_rate_pct,2021-07,1.79,-0.06,Recipe mix,positive,base
vision_2030_index,2021-07,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2021-07,4525973.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2021-07,74796.96,0.0,Flour demand,neutral,base
total_recipe_hours,2021-07,1904.12,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2021-07,87.7535,0.0,Model accuracy,positive,base
seasonality_index,2021-07,1.2258,0.0,Calendar,neutral,base
planned_recipe_hours,2021-07,1724.33,0.0,Schedule,neutral,base
available_mill_hours,2021-07,1787.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2021-07,62.67,0.0,Capacity balance,positive,base
avg_changeovers,2021-07,26.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2021-07,1088.1237,0.0,Raw material,neutral,base
waste_impact_pct,2021-07,1.79,0.0,Waste,positive,base
mill_utilization_pct,2021-07,96.493,0.0,Utilization,negative,base
overload_hours,2021-07,0.0,0.0,Capacity,positive,base
recipe_switch_count,2021-07,54.0,0.0,Scheduling,neutral,base
avg_run_length_days,2021-07,0.6,0.0,Continuity,neutral,base
downtime_risk_score,2021-07,48.2,0.0,Risk model,positive,base
total_wheat_requirement_tons,2021-07,74796.89,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2021-07,1120.1523,0.0,Market,neutral,base
import_dependency_pct,2021-07,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2021-07,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2021-07,0.053,0.0,Quality,neutral,base
waste_rate_vs_target,2021-07,-0.71,0.0,Gap to target,positive,base
energy_per_ton,2021-07,68.956,0.0,Efficiency,neutral,base
water_per_ton,2021-07,0.809,0.0,Conservation,neutral,base
vision_2030_compliance,2021-07,85.5,0.0,Composite,positive,base
total_demand_tons,2021-08,58329.92,-22.0157,SKU forecast,negative,base
recipe_time_utilization_pct,2021-08,95.2325,-1.2605,Time constraint,negative,base
capacity_violations_count,2021-08,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2021-08,1077.4183,-42.734,Wheat price,neutral,base
waste_rate_pct,2021-08,1.968,0.178,Recipe mix,positive,base
vision_2030_index,2021-08,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2021-08,3510348.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2021-08,58329.92,0.0,Flour demand,neutral,base
total_recipe_hours,2021-08,1483.04,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2021-08,87.0899,0.0,Model accuracy,positive,base
seasonality_index,2021-08,0.9442,0.0,Calendar,neutral,base
planned_recipe_hours,2021-08,1730.85,0.0,Schedule,neutral,base
available_mill_hours,2021-08,1817.5,0.0,Capacity,neutral,base
slack_shortfall_hours,2021-08,86.65,0.0,Capacity balance,positive,base
avg_changeovers,2021-08,53.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2021-08,1088.5257,0.0,Raw material,neutral,base
waste_impact_pct,2021-08,1.968,0.0,Waste,positive,base
mill_utilization_pct,2021-08,95.2325,0.0,Utilization,negative,base
overload_hours,2021-08,0.0,0.0,Capacity,positive,base
recipe_switch_count,2021-08,107.0,0.0,Scheduling,neutral,base
avg_run_length_days,2021-08,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2021-08,47.6,0.0,Risk model,positive,base
total_wheat_requirement_tons,2021-08,58329.87,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2021-08,1077.4183,0.0,Market,neutral,base
import_dependency_pct,2021-08,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2021-08,40.2,0.0,Geopolitics,negative,base
yield_variability_index,2021-08,0.069,0.0,Quality,neutral,base
waste_rate_vs_target,2021-08,-0.53,0.0,Gap to target,positive,base
energy_per_ton,2021-08,66.514,0.0,Efficiency,neutral,base
water_per_ton,2021-08,0.7986,0.0,Conservation,neutral,base
vision_2030_compliance,2021-08,85.5,0.0,Composite,positive,base
total_demand_tons,2021-09,55359.51,-5.0924,SKU forecast,negative,base
recipe_time_utilization_pct,2021-09,95.0903,-0.1422,Time constraint,negative,base
capacity_violations_count,2021-09,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2021-09,1071.5196,-5.8987,Wheat price,neutral,base
waste_rate_pct,2021-09,1.902,-0.066,Recipe mix,positive,base
vision_2030_index,2021-09,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2021-09,3337137.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2021-09,55359.51,0.0,Flour demand,neutral,base
total_recipe_hours,2021-09,1408.2,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2021-09,87.2929,0.0,Model accuracy,positive,base
seasonality_index,2021-09,0.9233,0.0,Calendar,neutral,base
planned_recipe_hours,2021-09,1611.78,0.0,Schedule,neutral,base
available_mill_hours,2021-09,1695.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2021-09,83.22,0.0,Capacity balance,positive,base
avg_changeovers,2021-09,51.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2021-09,1088.4437,0.0,Raw material,neutral,base
waste_impact_pct,2021-09,1.902,0.0,Waste,positive,base
mill_utilization_pct,2021-09,95.0903,0.0,Utilization,negative,base
overload_hours,2021-09,0.0,0.0,Capacity,positive,base
recipe_switch_count,2021-09,103.0,0.0,Scheduling,neutral,base
avg_run_length_days,2021-09,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2021-09,47.5,0.0,Risk model,positive,base
total_wheat_requirement_tons,2021-09,55359.52,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2021-09,1071.5196,0.0,Market,neutral,base
import_dependency_pct,2021-09,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2021-09,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2021-09,0.056,0.0,Quality,neutral,base
waste_rate_vs_target,2021-09,-0.6,0.0,Gap to target,positive,base
energy_per_ton,2021-09,68.184,0.0,Efficiency,neutral,base
water_per_ton,2021-09,0.7798,0.0,Conservation,neutral,base
vision_2030_compliance,2021-09,85.5,0.0,Composite,positive,base
total_demand_tons,2021-10,56836.45,2.6679,SKU forecast,positive,base
recipe_time_utilization_pct,2021-10,95.0522,-0.038,Time constraint,negative,base
capacity_violations_count,2021-10,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2021-10,1068.6698,-2.8498,Wheat price,neutral,base
waste_rate_pct,2021-10,1.95,0.048,Recipe mix,positive,base
vision_2030_index,2021-10,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2021-10,3420984.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2021-10,56836.45,0.0,Flour demand,neutral,base
total_recipe_hours,2021-10,1445.75,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2021-10,87.2949,0.0,Model accuracy,positive,base
seasonality_index,2021-10,0.9232,0.0,Calendar,neutral,base
planned_recipe_hours,2021-10,1691.93,0.0,Schedule,neutral,base
available_mill_hours,2021-10,1780.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2021-10,88.07,0.0,Capacity balance,positive,base
avg_changeovers,2021-10,52.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2021-10,1088.4616,0.0,Raw material,neutral,base
waste_impact_pct,2021-10,1.95,0.0,Waste,positive,base
mill_utilization_pct,2021-10,95.0522,0.0,Utilization,negative,base
overload_hours,2021-10,0.0,0.0,Capacity,positive,base
recipe_switch_count,2021-10,106.0,0.0,Scheduling,neutral,base
avg_run_length_days,2021-10,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2021-10,47.5,0.0,Risk model,positive,base
total_wheat_requirement_tons,2021-10,56836.4,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2021-10,1068.6698,0.0,Market,neutral,base
import_dependency_pct,2021-10,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2021-10,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2021-10,0.095,0.0,Quality,neutral,base
waste_rate_vs_target,2021-10,-0.55,0.0,Gap to target,positive,base
energy_per_ton,2021-10,69.98,0.0,Efficiency,neutral,base
water_per_ton,2021-10,0.7852,0.0,Conservation,neutral,base
vision_2030_compliance,2021-10,85.5,0.0,Composite,positive,base
total_demand_tons,2021-11,56457.09,-0.6675,SKU forecast,negative,base
recipe_time_utilization_pct,2021-11,95.2294,0.1771,Time constraint,negative,base
capacity_violations_count,2021-11,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2021-11,1078.7444,10.0746,Wheat price,neutral,base
waste_rate_pct,2021-11,1.756,-0.194,Recipe mix,positive,base
vision_2030_index,2021-11,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2021-11,3405428.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2021-11,56457.09,0.0,Flour demand,neutral,base
total_recipe_hours,2021-11,1436.03,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2021-11,87.4952,0.0,Model accuracy,positive,base
seasonality_index,2021-11,0.9443,0.0,Calendar,neutral,base
planned_recipe_hours,2021-11,1706.51,0.0,Schedule,neutral,base
available_mill_hours,2021-11,1792.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2021-11,85.49,0.0,Capacity balance,positive,base
avg_changeovers,2021-11,52.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2021-11,1088.5406,0.0,Raw material,neutral,base
waste_impact_pct,2021-11,1.756,0.0,Waste,positive,base
mill_utilization_pct,2021-11,95.2294,0.0,Utilization,negative,base
overload_hours,2021-11,0.0,0.0,Capacity,positive,base
recipe_switch_count,2021-11,105.0,0.0,Scheduling,neutral,base
avg_run_length_days,2021-11,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2021-11,47.6,0.0,Risk model,positive,base
total_wheat_requirement_tons,2021-11,56457.18,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2021-11,1078.7444,0.0,Market,neutral,base
import_dependency_pct,2021-11,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2021-11,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2021-11,0.109,0.0,Quality,neutral,base
waste_rate_vs_target,2021-11,-0.74,0.0,Gap to target,positive,base
energy_per_ton,2021-11,69.622,0.0,Efficiency,neutral,base
water_per_ton,2021-11,0.7712,0.0,Conservation,neutral,base
vision_2030_compliance,2021-11,85.5,0.0,Composite,positive,base
total_demand_tons,2021-12,60846.44,7.7747,SKU forecast,positive,base
recipe_time_utilization_pct,2021-12,95.5033,0.2739,Time constraint,negative,base
capacity_violations_count,2021-12,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2021-12,1092.0173,13.2729,Wheat price,neutral,base
waste_rate_pct,2021-12,1.922,0.166,Recipe mix,positive,base
vision_2030_index,2021-12,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2021-12,3660419.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2021-12,60846.44,0.0,Flour demand,neutral,base
total_recipe_hours,2021-12,1547.6,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2021-12,87.2949,0.0,Model accuracy,positive,base
seasonality_index,2021-12,0.9797,0.0,Calendar,neutral,base
planned_recipe_hours,2021-12,1738.16,0.0,Schedule,neutral,base
available_mill_hours,2021-12,1820.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2021-12,81.84,0.0,Capacity balance,positive,base
avg_changeovers,2021-12,53.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2021-12,1088.4333,0.0,Raw material,neutral,base
waste_impact_pct,2021-12,1.922,0.0,Waste,positive,base
mill_utilization_pct,2021-12,95.5033,0.0,Utilization,negative,base
overload_hours,2021-12,0.0,0.0,Capacity,positive,base
recipe_switch_count,2021-12,107.0,0.0,Scheduling,neutral,base
avg_run_length_days,2021-12,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2021-12,47.8,0.0,Risk model,positive,base
total_wheat_requirement_tons,2021-12,60846.46,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2021-12,1092.0173,0.0,Market,neutral,base
import_dependency_pct,2021-12,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2021-12,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2021-12,0.075,0.0,Quality,neutral,base
waste_rate_vs_target,2021-12,-0.58,0.0,Gap to target,positive,base
energy_per_ton,2021-12,68.36,0.0,Efficiency,neutral,base
water_per_ton,2021-12,0.7636,0.0,Conservation,neutral,base
vision_2030_compliance,2021-12,85.5,0.0,Composite,positive,base
total_demand_tons,2022-01,62961.92,3.4768,SKU forecast,positive,base
recipe_time_utilization_pct,2022-01,95.8043,0.301,Time constraint,negative,base
capacity_violations_count,2022-01,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2022-01,1409.0109,316.9935,Wheat price,negative,base
waste_rate_pct,2022-01,2.036,0.114,Recipe mix,positive,base
vision_2030_index,2022-01,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2022-01,3803247.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2022-01,62961.92,0.0,Flour demand,neutral,base
total_recipe_hours,2022-01,1601.77,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2022-01,87.3641,0.0,Model accuracy,positive,base
seasonality_index,2022-01,1.0216,0.0,Calendar,neutral,base
planned_recipe_hours,2022-01,1684.24,0.0,Schedule,neutral,base
available_mill_hours,2022-01,1758.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2022-01,73.76,0.0,Capacity balance,positive,base
avg_changeovers,2022-01,49.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2022-01,1385.1253,0.0,Raw material,neutral,base
waste_impact_pct,2022-01,2.036,0.0,Waste,positive,base
mill_utilization_pct,2022-01,95.8043,0.0,Utilization,negative,base
overload_hours,2022-01,0.0,0.0,Capacity,positive,base
recipe_switch_count,2022-01,100.0,0.0,Scheduling,neutral,base
avg_run_length_days,2022-01,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2022-01,47.9,0.0,Risk model,positive,base
total_wheat_requirement_tons,2022-01,62962.01,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2022-01,1409.0109,0.0,Market,neutral,base
import_dependency_pct,2022-01,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2022-01,40.4,0.0,Geopolitics,negative,base
yield_variability_index,2022-01,0.078,0.0,Quality,neutral,base
waste_rate_vs_target,2022-01,-0.46,0.0,Gap to target,positive,base
energy_per_ton,2022-01,70.482,0.0,Efficiency,neutral,base
water_per_ton,2022-01,0.7978,0.0,Conservation,neutral,base
vision_2030_compliance,2022-01,85.5,0.0,Composite,positive,base
total_demand_tons,2022-02,59339.79,-5.7529,SKU forecast,negative,base
recipe_time_utilization_pct,2022-02,95.6225,-0.1818,Time constraint,negative,base
capacity_violations_count,2022-02,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2022-02,1420.916,11.9052,Wheat price,negative,base
waste_rate_pct,2022-02,1.792,-0.244,Recipe mix,positive,base
vision_2030_index,2022-02,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2022-02,3573486.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2022-02,59339.79,0.0,Flour demand,neutral,base
total_recipe_hours,2022-02,1509.27,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2022-02,87.9643,0.0,Model accuracy,positive,base
seasonality_index,2022-02,1.0557,0.0,Calendar,neutral,base
planned_recipe_hours,2022-02,1540.0,0.0,Schedule,neutral,base
available_mill_hours,2022-02,1610.5,0.0,Capacity,neutral,base
slack_shortfall_hours,2022-02,70.5,0.0,Capacity balance,positive,base
avg_changeovers,2022-02,47.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2022-02,1385.3266,0.0,Raw material,neutral,base
waste_impact_pct,2022-02,1.792,0.0,Waste,positive,base
mill_utilization_pct,2022-02,95.6225,0.0,Utilization,negative,base
overload_hours,2022-02,0.0,0.0,Capacity,positive,base
recipe_switch_count,2022-02,95.0,0.0,Scheduling,neutral,base
avg_run_length_days,2022-02,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2022-02,47.8,0.0,Risk model,positive,base
total_wheat_requirement_tons,2022-02,59339.73,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2022-02,1420.916,0.0,Market,neutral,base
import_dependency_pct,2022-02,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2022-02,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2022-02,0.071,0.0,Quality,neutral,base
waste_rate_vs_target,2022-02,-0.71,0.0,Gap to target,positive,base
energy_per_ton,2022-02,69.872,0.0,Efficiency,neutral,base
water_per_ton,2022-02,0.7598,0.0,Conservation,neutral,base
vision_2030_compliance,2022-02,85.5,0.0,Composite,positive,base
total_demand_tons,2022-03,67289.63,13.3971,SKU forecast,positive,base
recipe_time_utilization_pct,2022-03,95.7579,0.1354,Time constraint,negative,base
capacity_violations_count,2022-03,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2022-03,1427.2456,6.3296,Wheat price,negative,base
waste_rate_pct,2022-03,1.976,0.184,Recipe mix,positive,base
vision_2030_index,2022-03,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2022-03,4069453.0,0.0,Forecast,neutral,base
